user,ID,rating
msf280,84876,10.0
Wylie76,84876,10.0
frostyee,84876,10.0
rickfrank,84876,10.0
fancyfeast,84876,10.0
harezmi,84876,10.0
marsjuuh,84876,10.0
danielmckeon,84876,10.0
jlpatte2,84876,10.0
sestovic,84876,10.0
robecrum,84876,10.0
hotrod49341,84876,10.0
german24fps,84876,10.0
Brohan,84876,10.0
Zakharro,84876,10.0
Ronaele,84876,10.0
mrsboardgamegeek,84876,10.0
loveypai,84876,10.0
apaneto28,84876,10.0
exentric52,84876,10.0
jdolluc,84876,10.0
Will5to9,84876,10.0
Higgy83,84876,10.0
treyelliott22,84876,10.0
whoolzyourdaddy,84876,10.0
Earnur,84876,10.0
B1G_RED,84876,10.0
stoebner,84876,10.0
QuesoDog,84876,10.0
oRd3s,84876,10.0
Edgerly,84876,10.0
Lassy,84876,10.0
gizmit,84876,10.0
Evanedpeiffer,84876,10.0
capellablue,84876,10.0
rafohc,84876,10.0
Ornulf,84876,10.0
Krundor,84876,10.0
thefunkypython,84876,10.0
susanb13,84876,10.0
hipcio_stg,84876,10.0
mmau,84876,10.0
stevenolsontsx,84876,10.0
elwando,84876,10.0
spleenmuncher,84876,10.0
stu401122,84876,10.0
kristoff0613,84876,10.0
Jyabura,84876,10.0
Diamond76,84876,10.0
MrMoo28,84876,10.0
colbybikr,84876,10.0
ashrael,84876,10.0
grampane,84876,10.0
drussell41,84876,10.0
Urskata,84876,10.0
takuya711,84876,10.0
k4comicbook,84876,10.0
xhy20071998,84876,10.0
Hebus San,84876,10.0
isbelford,84876,10.0
UnalignedMagi,84876,10.0
Raland,84876,10.0
soundwriter,84876,10.0
corijo,84876,10.0
Kaliban27,84876,10.0
jarekw,84876,10.0
Taipan59,84876,10.0
Zbynskic,84876,10.0
Yaxchilan97,84876,10.0
masterwizard55,84876,10.0
beonyourway,84876,10.0
creatvy,84876,10.0
Cupcak,84876,10.0
Mandelbot,84876,10.0
Iratejustice,84876,10.0
Roubydude,84876,10.0
vendelmarie,84876,10.0
vttdavid9,84876,10.0
carminageek,84876,10.0
SamLowry1985,84876,10.0
cosmicdustorb,84876,10.0
woolleylogic,84876,10.0
amin_art3,84876,10.0
WyoBadger,84876,10.0
JSchuyler,84876,10.0
r4mello,84876,10.0
cals,84876,10.0
airbag660,84876,10.0
ptownhiker,84876,10.0
maruuchis,84876,10.0
Quazaar,84876,10.0
syncross2,84876,10.0
Chrono_90,84876,10.0
Kubi74,84876,10.0
Doidletp,84876,10.0
Rigel Nightsky,84876,10.0
mtumbuu,84876,10.0
sghirotti,84876,10.0
rjlourenco,84876,10.0
cvodraska,84876,10.0
TrenTrenTrent,84876,10.0
morinio,84876,10.0
Htthtt,84876,10.0
cametall,84876,10.0
Boardgamebunnygirl,84876,10.0
Resolv,84876,10.0
Apfelrocker,84876,10.0
fritolay,84876,10.0
trevop711,84876,10.0
stanislavlucky,84876,10.0
cjeter,84876,10.0
Steve Broadfoot,84876,10.0
Aenovejo,84876,10.0
miguelvilla55,84876,10.0
Smapdy0,84876,10.0
pega_ns,84876,10.0
slurmsmackenzie8,84876,10.0
khammond87,84876,10.0
Synckee,84876,10.0
avian_brain,84876,10.0
hyperionpl,84876,10.0
phelgi,84876,10.0
littlegerm,84876,10.0
tyupyu,84876,10.0
jackbauerpwrhour,84876,10.0
rgluck,84876,10.0
Darling0728,84876,10.0
Anburotns,84876,10.0
jejouejeuxpartage,84876,10.0
wicked8z,84876,10.0
Gooodday,84876,10.0
chug187,84876,10.0
Embtps,84876,10.0
jules_gryphus,84876,10.0
nomasopa,84876,10.0
Ospreygames,84876,10.0
josh61516,84876,10.0
vasilevski3,84876,10.0
lemononmars,84876,10.0
Niluna,84876,10.0
suselsusel,84876,10.0
misfortunemaven,84876,10.0
ShingShady,84876,10.0
pflarr,84876,10.0
dissident5,84876,10.0
blankmass,84876,10.0
Lilou84x,84876,10.0
Uniquelybe,84876,10.0
patox,84876,10.0
TwoAMArts,84876,10.0
TriciaJ26,84876,10.0
